Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,54.860001,55.680000,54.209999,54.950001,54.950001,774400
2022-12-19,54.990002,55.158001,52.880001,52.970001,52.970001,543200
2022-12-20,52.799999,53.900002,52.340000,53.779999,53.779999,608300
2022-12-21,54.430000,55.130001,54.160000,54.639999,54.639999,326900
2022-12-22,54.130001,55.318001,53.755001,55.020000,55.020000,374500
2022-12-23,54.849998,54.930000,54.200001,54.480000,54.480000,236600
2022-12-27,54.480000,55.950001,54.327999,55.480000,55.480000,393200
2022-12-28,55.380001,55.655998,54.750000,55.590000,55.590000,414000
2022-12-29,56.000000,56.518002,55.009998,55.680000,55.680000,550200
2022-12-30,55.320000,55.459999,54.570000,55.299999,55.299999,401700
2023-01-03,56.169998,56.959999,54.900002,55.340000,55.340000,614400
2023-01-04,55.060001,57.000000,55.060001,55.970001,55.970001,565600
2023-01-05,55.860001,56.455002,55.000000,55.610001,55.610001,815900
2023-01-06,56.040001,58.759998,55.903000,58.049999,58.049999,1604400
2023-01-09,57.950001,58.490002,55.599998,55.759998,55.759998,1949400
2023-01-10,55.500000,55.689999,51.049999,51.150002,51.150002,2456300
2023-01-11,51.009998,51.290001,48.464001,49.200001,49.200001,2353200
2023-01-12,49.240002,50.619999,48.099998,49.990002,49.990002,1278400
2023-01-13,50.590000,53.250000,50.205002,52.750000,52.750000,1121300
2023-01-17,52.660000,54.099998,52.549999,53.619999,53.619999,687700
2023-01-18,54.110001,54.700001,53.000000,53.639999,53.639999,579500
2023-01-19,53.630001,54.299999,52.560001,52.660000,52.660000,482500
2023-01-20,53.139999,54.174999,52.630001,54.169998,54.169998,442800
2023-01-23,54.090000,54.919998,53.669998,54.000000,54.000000,738700
2023-01-24,53.430000,55.470001,52.869999,55.150002,55.150002,764800
2023-01-25,54.750000,56.345001,54.750000,56.299999,56.299999,461300
2023-01-26,56.860001,57.930000,56.650002,57.910000,57.910000,584000
2023-01-27,57.880001,58.209999,56.480000,56.660000,56.660000,492400
2023-01-30,56.750000,58.139999,56.689999,57.080002,57.080002,606200
2023-01-31,57.270000,58.150002,56.660000,57.549999,57.549999,558600
2023-02-01,57.389999,58.580002,56.500000,58.509998,58.509998,1020400
2023-02-02,69.260002,69.299004,62.349998,67.290001,67.290001,3590100
2023-02-03,67.250000,71.620003,67.000000,69.739998,69.739998,1825800
2023-02-06,69.540001,70.553001,67.400002,68.669998,68.669998,1008000
2023-02-07,68.449997,72.199997,68.449997,72.029999,72.029999,1247900
2023-02-08,71.809998,72.150002,70.449997,71.570000,71.570000,778000
2023-02-09,72.620003,73.000000,71.550003,72.820000,72.820000,697500
2023-02-10,71.910004,72.849998,71.239998,71.320000,71.320000,560800
2023-02-13,71.599998,73.839996,71.410004,73.440002,73.440002,588200
2023-02-14,73.000000,75.410004,72.660004,73.769997,73.769997,621000
2023-02-15,73.250000,74.980003,72.769997,74.629997,74.629997,455900
2023-02-16,74.120003,75.120003,73.605003,74.000000,74.000000,436100
2023-02-17,73.820000,74.370003,73.014999,73.650002,73.650002,636300
2023-02-21,72.669998,73.720001,71.720001,73.190002,73.190002,709900
2023-02-22,73.639999,73.639999,71.930000,73.120003,73.120003,607900
2023-02-23,72.919998,74.120003,72.919998,73.750000,73.750000,531200
2023-02-24,72.750000,73.834999,72.250000,73.339996,73.339996,454200
2023-02-27,73.660004,74.430000,73.180000,74.070000,74.070000,866700
2023-02-28,73.680000,75.769997,73.540001,74.750000,74.750000,914100
2023-03-01,75.070000,75.419998,73.449997,74.190002,74.190002,570700
2023-03-02,72.839996,75.779999,71.639999,75.220001,75.220001,954500
2023-03-03,75.449997,76.010002,74.519997,75.190002,75.190002,1076900
2023-03-06,74.839996,74.839996,71.050003,72.080002,72.080002,1947000
2023-03-07,71.000000,74.088997,70.250000,73.699997,73.699997,1569900
2023-03-08,73.699997,74.389999,73.309998,74.010002,74.010002,743700
2023-03-09,74.050003,74.300003,70.639999,71.129997,71.129997,1309300
